pair,job_id,variant,order_position,exit_code,h_diff,trajectory_sec,update_sec,main_sec,external_wall_sec,cg_records,cg_iterations_total,cg_total_sec,cg_steps_sec,cg_residual_block_sec,dagd_records,dagd_calls_total,dagd_total_sec,dagd_d_combine_sec,dagd_ddag_combine_sec,dagd_combine_sec,cg_sp_records,cg_sp_iterations_total,cg_sp_total_sec,cg_sp_residual_block_sec,dagd_sp_records,dagd_sp_calls_total,dagd_sp_total_sec,dagd_sp_combine_sec,cg_dp_records,cg_dp_iterations_total,cg_dp_total_sec,cg_dp_residual_block_sec,dagd_dp_records,dagd_dp_calls_total,dagd_dp_total_sec,dagd_dp_combine_sec
pair01,50872185,no_fusion,1,0,0.00083995,22.6,22.72,22.94,26.09,80,5549,5.71993876868,5.63175038318,0.105711971926,12,7779,7.92889349183,0.061369311546,0.071404974254,0.132774285799,80,5549,5.71993876868,0.105711971926,5,5629,5.45683444704,0.0738424033168,0,0,0,0,7,2150,2.47205904479,0.0589318824819
pair01,50872185,fusion,2,0,0.00083995,22.82,22.92,23.29,25.49,80,5549,5.67405098666,5.58684828657,0.089947445285,12,7779,7.9232077429,0.0426556197105,0.0495943668491,0.0922499865626,80,5549,5.67405098666,0.089947445285,5,5629,5.42829475905,0.0497170486599,0,0,0,0,7,2150,2.49491298385,0.0425329379027
pair02,50872187,no_fusion,2,0,0.00083995,22.9,23,23.28,25.58,80,5549,5.70659602293,5.61838359373,0.104971923158,12,7779,8.01328003714,0.0675455696216,0.0728463101007,0.140391879713,80,5549,5.70659602293,0.104971923158,5,5629,5.44149638785,0.0778650471513,0,0,0,0,7,2150,2.57178364928,0.0625268325618
pair02,50872187,fusion,1,0,0.00083995,22.56,22.69,22.91,26.05,80,5549,5.67011985716,5.58248803159,0.0900412035507,12,7779,7.87955682904,0.0428256652443,0.048960382557,0.0917860477883,80,5549,5.67011985716,0.0900412035507,5,5629,5.4240077381,0.0489533106846,0,0,0,0,7,2150,2.45554909094,0.0428327371037
pair03,50872190,no_fusion,1,0,0.00083995,22.6,22.73,22.95,26.18,80,5549,5.71987100331,5.63149420589,0.104970801128,12,7779,7.92754413982,0.0629716607315,0.0680717451828,0.131043405922,80,5549,5.71987100331,0.104970801128,5,5629,5.45468152622,0.0740351359145,0,0,0,0,7,2150,2.4728626136,0.0570082700074
pair03,50872190,fusion,2,0,0.00083995,22.81,22.91,23.21,25.63,80,5549,5.68892354875,5.60106883697,0.0898107261027,12,7779,8.01140218157,0.0442416986504,0.0488406320875,0.0930823307503,80,5549,5.68892354875,0.0898107261027,5,5629,5.43960547511,0.0511337606593,0,0,0,0,7,2150,2.57179670646,0.041948570091
pair04,50872191,no_fusion,2,0,0.00083995,22.99,23.08,23.39,25.48,80,5549,5.71333759071,5.6248280515,0.10372848723,12,7779,8.01873646015,0.0664334721189,0.0720611513718,0.138494623481,80,5549,5.71333759071,0.10372848723,5,5629,5.45210389747,0.0780133393052,0,0,0,0,7,2150,2.56663256268,0.0604812841761
pair04,50872191,fusion,1,0,0.00083995,22.56,22.66,22.92,26.1,80,5549,5.67732406394,5.58947711178,0.0902029389143,12,7779,7.88083837732,0.0441796738813,0.0503396495491,0.0945193234286,80,5549,5.67732406394,0.0902029389143,5,5629,5.43161955096,0.0508685207404,0,0,0,0,7,2150,2.44921882636,0.0436508026882
pair05,50872192,no_fusion,1,0,0.00083995,22.59,22.7,22.92,25.93,80,5549,5.7196303528,5.6315266088,0.104372440169,12,7779,7.92691960728,0.0646477418214,0.0689880744211,0.133635816238,80,5549,5.7196303528,0.104372440169,5,5629,5.45517702176,0.0731160763833,0,0,0,0,7,2150,2.47174258552,0.0605197398545
pair05,50872192,fusion,2,0,0.00083995,22.74,22.83,23.21,25.45,80,5549,5.67947773814,5.59177580186,0.0895339060498,12,7779,7.98746690939,0.0440012125782,0.0495796844428,0.0935808970208,80,5549,5.67947773814,0.0895339060498,5,5629,5.43230447188,0.04993804137,0,0,0,0,7,2150,2.55516243751,0.0436428556508
pair06,50872193,no_fusion,2,0,0.00083995,22.98,23.08,23.4,26.02,80,5549,5.71504702614,5.62690523372,0.105368175126,12,7779,8.06707885022,0.0610317537454,0.0715277739493,0.132559527705,80,5549,5.71504702614,0.105368175126,5,5629,5.45038070778,0.0733734772497,0,0,0,0,7,2150,2.61669814244,0.0591860504551
pair06,50872193,fusion,1,0,0.00083995,22.55,22.66,22.92,25.96,80,5549,5.67994660915,5.59166986288,0.0901442285898,12,7779,7.8881660445,0.0428267484849,0.0503716998869,0.0931984483747,80,5549,5.67994660915,0.0901442285898,5,5629,5.43236074081,0.0498917129659,0,0,0,0,7,2150,2.45580530369,0.0433067354088
pair07,50872194,no_fusion,1,0,0.00083995,22.81,22.91,23.29,25.06,80,5549,5.71300749859,5.62481246408,0.103849397325,12,7779,7.96221260111,0.06615082673,0.0712483309158,0.137399157651,80,5549,5.71300749859,0.103849397325,5,5629,5.45062480961,0.0770135609136,0,0,0,0,7,2150,2.5115877915,0.0603855967378
pair07,50872194,fusion,2,0,0.00083995,23.07,23.16,23.45,24.86,80,5549,5.68165402064,5.59401121833,0.0902916229117,12,7779,8.09405481299,0.0450062912269,0.0494217402464,0.0944280314903,80,5549,5.68165402064,0.0902916229117,5,5629,5.4312455911,0.0518605684603,0,0,0,0,7,2150,2.66280922189,0.04256746303
pair08,50872196,no_fusion,2,0,0.00083995,22.9,23.01,23.38,25.72,80,5549,5.71671613515,5.62852266145,0.103821320375,12,7779,8.0468458638,0.0627537135796,0.0683969509773,0.131150664553,80,5549,5.71671613515,0.103821320375,5,5629,5.45286240413,0.0718339803535,0,0,0,0,7,2150,2.59398345966,0.0593166841995
pair08,50872196,fusion,1,0,0.00083995,22.56,22.7,23.01,26.06,80,5549,5.67570601613,5.58825220327,0.0901358074796,12,7779,7.88324372128,0.0437762128588,0.0489521237198,0.0927283365759,80,5549,5.67570601613,0.0901358074796,5,5629,5.42973605969,0.0504684514345,0,0,0,0,7,2150,2.45350766159,0.0422598851414
pair09,50872198,no_fusion,1,0,0.00083995,22.97,23.1,23.44,25.2,80,5549,5.71228304128,5.62438089448,0.104381926665,12,7779,8.0400692868,0.0661724593424,0.0710757487435,0.137248208085,80,5549,5.71228304128,0.104381926665,5,5629,5.45028668743,0.0770508299991,0,0,0,0,7,2150,2.58978259937,0.0601973780858
pair09,50872198,fusion,2,0,0.00083995,23.15,23.24,23.48,24.93,80,5549,5.69129267915,5.6031514537,0.0903179956968,12,7779,8.13469076511,0.0447812533945,0.0486344400123,0.0934156934007,80,5549,5.69129267915,0.0903179956968,5,5629,5.44158438375,0.0519965204725,0,0,0,0,7,2150,2.69310638136,0.0414191729282
pair10,50872200,no_fusion,2,0,0.00083995,22.85,22.95,23.33,25.69,80,5549,5.71609492378,5.62804153381,0.104263353879,12,7779,7.94739409397,0.0645367057219,0.0696093659507,0.134146071669,80,5549,5.71609492378,0.104263353879,5,5629,5.45437343029,0.0732819097878,0,0,0,0,7,2150,2.49302066368,0.0608641618812
pair10,50872200,fusion,1,0,0.00083995,22.57,22.69,22.91,26.1,80,5549,5.67680668635,5.58917261083,0.0910320895544,12,7779,7.87614056172,0.0439341731217,0.0488887698984,0.0928229430191,80,5549,5.67680668635,0.0910320895544,5,5629,5.42680116419,0.0511250878725,0,0,0,0,7,2150,2.44933939753,0.0416978551466
