metric,no_fusion_n,no_fusion_mean,no_fusion_stdev,fusion_n,fusion_mean,fusion_stdev,mean_difference_no_minus_fusion,reduction_percent,paired_difference_mean,paired_difference_stdev
trajectory_sec,10,22.819,0.16346593257,10,22.739,0.223728506106,0.08,0.350585038783,0.08,0.303754286664
update_sec,10,22.928,0.157395467957,10,22.846,0.211565592666,0.082,0.357641311933,0.082,0.282205598811
main_sec,10,23.232,0.209698195828,10,23.131,0.226737733957,0.101,0.434745179063,0.101,0.349744351078
external_wall_sec,10,25.695,0.374232548023,10,25.663,0.475629407557,0.032,0.12453784783,0.032,0.458034448001
cg_iterations_total,10,5549,0,10,5549,0,0,0,0,0
cg_total_sec,10,5.71525223634,0.00418742291294,10,5.67953022061,0.0064701275602,0.03572201573,0.625029556926,0.03572201573,0.00686049289787
cg_steps_sec,10,5.62706456306,0.00417970820238,10,5.59179154178,0.00628747607833,0.035273021286,0.626845860585,0.035273021286,0.00659788054983
cg_residual_block_sec,10,0.104543979698,0.000684183460558,10,0.0901457964135,0.000391118873961,0.0143981832847,13.7723696059,0.0143981832847,0.000885429233595
cg_sp_total_sec,10,5.71525223634,0.00418742291294,10,5.67953022061,0.0064701275602,0.03572201573,0.625029556926,0.03572201573,0.00686049289787
cg_sp_residual_block_sec,10,0.104543979698,0.000684183460558,10,0.0901457964135,0.000391118873961,0.0143981832847,13.7723696059,0.0143981832847,0.000885429233595
cg_dp_total_sec,10,0,0,10,0,0,0,0,0,0
cg_dp_residual_block_sec,10,0,0,10,0,0,0,0,0,0
dagd_calls_total,10,7779,0,10,7779,0,0,0,0,0
dagd_total_sec,10,7.98789744321,0.0549791376661,10,7.95587679458,0.0965456419237,0.032020648627,0.400864543575,0.032020648627,0.119053277002
dagd_combine_sec,10,0.134884364082,0.00326485256147,10,0.0931812038411,0.000863907278888,0.0417031602405,30.9177127567,0.0417031602405,0.00322239771623
dagd_sp_total_sec,10,5.45188213196,0.00427758070946,10,5.43175599346,0.00537280563187,0.020126138494,0.369159457356,0.020126138494,0.00587709806431
dagd_sp_combine_sec,10,0.0749425760375,0.00228418029755,10,0.050595302332,0.000978670086375,0.0243472737055,32.4879060647,0.0243472737055,0.00230349099748
dagd_dp_total_sec,10,2.53601531125,0.0573804368486,10,2.52412080112,0.0927590321217,0.011894510133,0.469023593045,0.011894510133,0.117484054066
dagd_dp_combine_sec,10,0.0599417880441,0.00145326975731,10,0.0425859015091,0.000781537015092,0.017355886535,28.9545692601,0.017355886535,0.00148865809266
h_diff,10,0.00083995,0,10,0.00083995,0,0,0,0,0
